order_id,Order Date,customer_name,email,country,product_name,qty,price,payment_status,shipping_date
ORD1000,2024-02-27,Regina Webb,jessica46@example.org,UK,Laptop,3.0,56.53,Paid,
ORD1001,Apr 21 2024,terry nelson,rwagner@example.com,U.S.,Monitor,1.0,116.64,Paid,2024-04-24
ORD1002,2024-03-22,dylan hernandez,josemarshall@example.com,United States,Monitor,3.0,$62.8,PAID,2024-03-28
ORD1003,01/23/2024,  DUSTIN BAUTISTA  ,laurenstewart@example.com,united states,Keyboard,1.0,194.89,Paid,
ORD1004,2024-04-26,jordan wright,caitlinthomas@example.com,Canada,Mouse,1.0,$172.51,paid,2024-04-30
ORD1005,2024-02-06,  JESSE GREER  ,yturner@example.com,CAN,Keyboard,2.0,111.49,pending,2024-02-15
ORD1006,06/15/2024,hannah blevins,brenda45@example.net,United Kingdom,Keyboard,2.0,$166.14,Pending,2024-06-15
ORD1007,Aug 22 2024,jose david,ambermiller@example.com,United Kingdom,Monitor,3.0,36.53,Pending,2024-08-24
ORD1008,2024-03-11,robert garcia,blakenguyen@example.net,US,Monitor,,27.27,Pending,2024-03-19
ORD1009,2024-08-27,jonathan warner,cunninghammisty@example.net,UK,Keyboard,3.0,194.5,PAID,2024-09-04
ORD1010,Aug 10 2024,mr. jeremy maldonado,gyoung@example.com,UK,Mouse,,10.62,Paid,2024-08-12
ORD1011,2024-06-01,Michael Cole,mcdonaldphilip@example.net,UK,Laptop,2.0,39.04,Pending,
ORD1012,Jul 04 2024,michael weber,johnstondonald@example.net,canada,Laptop,2.0,21.01,pending,2024-07-08
ORD1013,2024-03-06,  ZACHARY JOHNSON  ,porterjoel@example.org,United Kingdom,Monitor,,189.9,pending,2024-03-16
ORD1014,Apr 12 2024,Andrew Clay,courtneymolina@example.com,canada,Laptop,,$199.08,Paid,2024-04-16
ORD1015,Oct 10 2024,joseph austin,earlgarcia@example.net,USA,Keyboard,2.0,$11.37,paid,2024-10-13
ORD1016,Sep 05 2024,david jones,richarddaniel@example.com,canada,Monitor,2.0,$147.44,Paid,2024-09-08
ORD1017,Jun 30 2024,  KEVIN MENDOZA  ,brian29@example.org,U.K.,Laptop,,$98.73,PAID,2024-07-06
ORD1018,02/25/2024,  CHRISTOPHER MOODY  ,karensnow@example.com,US,Keyboard,2.0,$46.14,Paid,2024-02-28
ORD1019,Oct 08 2024,Mark Casey,zrobles@example.org,U.S.,Mouse,1.0,$133.91,Pending,2024-10-09
